,정류소 번호,정류소 아이디,정류소 명,위도,경도,정류장 구분
650,5064,164620301.0,네오스포,35.15306558,129.053985,시내
651,5066,165240301.0,협성피닉스,35.170065,129.0386167,시내
653,5068,165250301.0,부암3동주민센터,35.16866514,129.0395628,시내
656,5071,171980301.0,늘푸른교회,35.17008667,129.0364717,시내
657,5074,172140501.0,용사촌입구,35.17118529,129.0337403,시내
659,5077,172410301.0,백양터널,35.171365,129.024862,시내
660,5078,172160401.0,당감백산아파트,35.16923833,129.0329367,시내
661,5079,172690302.0,가야전신전화국,35.15365993,129.0287717,시내
663,5081,172780101.0,당감동,35.16856,129.03596,시내
664,5082,172450301.0,부산진구생활문화센터,35.167715,129.036835,시내
665,5083,171880201.0,화승삼성아파트,35.16671402,129.0387451,시내
667,5085,172370302.0,당감사거리,35.16567959,129.0396643,시내
669,5087,172650301.0,당감초등학교,35.16341667,129.039665,시내
671,5089,172220101.0,태을의원,35.16536333,129.03863,시내
672,5090,172570301.0,당감4동,35.16532667,129.0378283,시내
673,5092,172220301.0,개성고등학교입구,35.16498,129.0342167,시내
675,5094,172360301.0,백양로교회앞,35.16430333,129.0313683,시내
677,5096,172180402.0,개원초등학교,35.16624833,129.0288,시내
678,5097,172600101.0,국제프라자아파트,35.16763288,129.0275409,시내
680,5101,171940301.0,개금주공아파트,35.15900789,129.0305283,시내
681,5102,171940302.0,개포초등학교,35.15846038,129.0282943,시내
682,5103,172050201.0,한국신발관,35.15785478,129.0257475,시내
683,5104,172070201.0,개금3동주민센터,35.15607729,129.0229081,시내
684,5106,172060301.0,신개금엘지아파트,35.15486249,129.0194834,시내
686,5108,173130301.0,개금역.개금초등학교,35.15424458,129.020885,시내
688,5110,194660301.0,냉정고개,35.15176789,129.0154336,시내
691,5113,172310301.0,개금역,35.15223776,129.0201777,시내
693,5115,172110303.0,개금1치안센터,35.15040167,129.02111,시내
695,5117,172270301.0,백병원입구,35.14829828,129.0198773,시내
696,5118,172790201.0,주례여자고등학교,35.14782982,129.0164061,시내
697,5119,194590201.0,개금시장,35.14821333,129.0172633,시내
699,5123,165260201.0,벽산아파트,35.147705,129.0234433,시내
701,5126,165260101.0,진성아파트,35.14869,129.0265767,시내
703,5128,172020101.0,가야공원입구,35.14773667,129.028865,시내
705,5130,172550101.0,가야고교,35.14771167,129.0311967,시내
707,5132,172520201.0,가야여중,35.14788,129.03466,시내
709,5134,172910201.0,가남시장,35.14963167,129.0345067,시내
715,5140,172120203.0,가야2동새마을금고,35.15105667,129.0294333,시내
717,5142,172120201.0,골목시장,35.15099167,129.024965,시내
719,5144,173150101.0,개금삼거리,35.15292861,129.0263115,시내
727,5152,172560101.0,당평초등학교,35.15973685,129.0349275,시내
729,5154,172250101.0,당감1치안센터,35.16202174,129.0427897,시내
731,5156,172240101.0,진양교차로,35.1623498,129.0466208,시내
734,5159,172340101.0,부암초등학교,35.16295831,129.0503032,시내
736,5161,172100301.0,부암교차로,35.16681899,129.0501466,시내
737,5162,171860201.0,삼부아파트,35.16629156,129.0506055,시내
740,5165,171960201.0,부산진구청,35.1635423,129.0543837,시내
741,5166,171960401.0,부산진구청.시민공원남1문,35.16444762,129.0537959,시내
742,5168,172620102.0,부산진중학교,35.16446752,129.0554607,시내
743,5169,172620101.0,부산시민공원남문,35.16557516,129.0582429,시내
744,5171,164470201.0,동해선부전역,35.16457052,129.0623605,시내
747,5186,164420501.0,부전시장입구,35.15902619,129.0582699,시내
749,5189,164630301.0,롯데호텔백화점.서면역,35.15785624,129.0558565,시내
751,5192,172640401.0,부암역.당감입구,35.15854838,129.0506823,시내
753,5194,172640301.0,부암역,35.157205,129.0490133,시내
755,5196,172080201.0,CBS방송국,35.15272667,129.04975,시내
758,5199,172540301.0,범천건강문화센터,35.1511,129.0483017,시내
760,5201,172540302.0,선암초등학교,35.14972167,129.0497633,시내
762,5203,172710101.0,약수터입구,35.14763667,129.05039,시내
764,5205,169420103.0,서호정사,35.14550333,129.051155,시내
766,5207,172710202.0,호천마을입구,35.14421167,129.05018,시내
