"정류장번호","위치명(정류장명)","설치년도","주소","좌표정보(위도)","좌표정보(경도)","데이터기준일자"
"13037","하마정","-","연제구 거제동 759-1","35.1766531148","129.0682145463","2021-01-13"
"13051","연산지하철역","-","연제구 연산동 1242-2","35.1861825805","129.0805528441","2021-01-13"
"13055","연산교차로","-","연제구 연산4동 723-5","35.1872519856","129.0829369722","2021-01-13"
"13056","연산교차로","-","연제구 연산동 728-1","35.1868090544","129.0829639738","2021-01-13"
"13057","연산농협","-","부산 연제구 연산동 1515-7","35.1893503588","129.0858656973","2021-01-13"
"13059","연산1치안센터","-","연제구 연산1동 582-1","35.1914722197","129.0882435567","2021-01-13"
"13060","연산1치안센터","-","부산 연제구 거제동 18-53","35.1881353646","129.0755771202","2021-01-13"
"13061","연안교","-","연제구 연산동 104-1","35.1928252238","129.0907538771","2021-01-13"
"13062","경동아파트","-","부산 연제구 연산동 307-40","35.1905273998","129.0909664560","2021-01-13"
"13063","경동아파트","-","연제구 연산1동 307-26","35.1903258743","129.0913697572","2021-01-13"
"13065","연동시장","-","부산 연제구 연산동 311","35.1893317246","129.0926785501","2021-01-13"
"13069","연동시장","-","연제구 연산8동 344-17","35.1889463330","129.0948910960","2021-01-13"
"13070","연천시장","-","연제구 연산동 367-28","35.1884983470","129.0962771940","2021-01-13"
"13071","부산경상대학입구","-","연제구 과정로 266","35.1880574683","129.0982454602","2021-01-13"
"13072","경상대학 서문","-","연제구 연산동 1092-3","35.1855515981","129.0977329507","2021-01-13"
"13074","연산8치안센터","-","연제구 연산9동 399-11","35.1878854886","129.1018529030","2021-01-13"
"13075","연산8치안센터","-","연제구 과정로 220-1","35.1879302807","129.1031912728","2021-01-13"
"13076","토곡한양아파트","-","연제구 연산동 401-28","35.1880735519","129.1055144053","2021-01-13"
"13077","토곡한양아파트","-","연제구 연산동 405-10","35.1876339868","129.1062335764","2021-01-13"
"13078","토곡한양아파트","-","연제구 연산동 420-4","35.1891683057","129.1067139193","2021-01-13"
"13079","토곡한양아파트","-","연제구 연산동 458-34","35.1892494741","129.1073728878","2021-01-13"
"13080","태광아파트","-","연제구 연산동 418-20","35.1866918102","129.1069444806","2021-01-13"
